genenames,CHASM,DawnRank,EntroRank,Intdriver,MA,MCGfinder,MaxMIF_HumanNet,MaxMIF_Influencegraph,MaxMIF_STRINGv10,Muf_max_HumanNet,Muf_max_STRINGv10,Muf_max_influencegraph,Muf_sum_HumanNet,Muf_sum_STRINGv10,Muf_sum_influencegraph,Music,NMTF,OncodriveClust,OncodriveFM,RME,SIFT,Subdyquency,Unicovex_PPR,Unicovex_influencegraph,activedriver,dendrix_frequency,dendrix_weight,diffusion,dndscv,dotsfinder,drivernet,polyphen-2,ncg_6,cgc,ccgs
ZNF282,0,0,4543,0,8809,0,11129,7527,13309,13992,9256,12592,12988,8620,10440,6055,0,0,0,0,0,0,4426,3292,7464,926,960,0,16990,10928,0,2754,N,N,N
HERPUD2,0,0,4670,0,8326,0,10676,8604,11568,12376,11415,11930,11194,10487,10404,3052,0,0,6654,0,7917,0,0,0,0,0,0,0,6609,6602,0,11032,N,N,N
FGF20,0,0,8501,0,45015,0,8157,12578,5586,4950,17093,968,7912,16025,7921,4639,0,0,0,0,7825,0,0,0,0,0,0,0,19110,11479,0,11518,N,N,Y
DOK2,0,0,3972,0,66605,0,2279,8427,4058,3061,2727,863,7930,6324,6021,11906,0,0,0,0,14379,0,2817,2308,0,0,0,0,726,13777,0,0,N,N,Y
PPP1R26,581,0,0,0,0,0,8243,8378,8492,9412,5014,13646,12231,10596,11168,2164,0,0,0,0,12560,0,5982,0,3812,0,0,0,9740,3424,0,10758,N,N,N
SOHLH1,0,0,0,0,33163,0,13070,7664,8957,14793,11461,14210,13229,11494,11611,10714,0,0,0,0,3266,0,0,0,0,0,0,0,16091,10751,0,0,N,N,N
DDX53,0,0,0,0,9468,0,10725,10140,4671,11356,1481,14184,9339,4069,11588,4229,0,0,2030,0,5335,0,0,0,3190,0,0,0,8785,7281,0,3163,N,N,N
FAM81A,0,0,0,0,28254,0,11324,2299,5503,14511,5475,14137,13053,9715,11548,4898,0,0,8334,0,10517,0,0,0,0,0,0,0,2161,5641,0,9706,N,N,N
GOLGA6L1,0,0,0,0,0,0,13823,12576,13892,16285,11308,15257,15401,14929,14072,16936,0,0,0,0,0,0,0,0,0,1668,1572,0,4920,0,0,0,N,N,N
RNF32,0,0,0,0,12872,0,5384,8396,9995,6298,11910,13199,4477,10449,10815,10557,0,0,0,0,173,0,3724,0,0,1671,1747,0,12354,9555,0,12271,N,N,N
INPP5F,0,0,0,0,17646,0,8114,9884,8525,9425,8013,14235,13881,11840,13122,10040,0,0,8510,0,9179,0,0,0,3908,0,0,0,16113,7180,0,2883,N,N,N
PPAPDC1A,0,0,0,0,28648,0,14419,14144,14431,16836,13585,0,16491,14154,0,10454,0,0,0,0,0,0,0,0,0,0,0,0,13037,5997,0,0,N,N,N
ANKRD16,0,0,0,0,60236,0,11665,9893,8812,15233,12202,15012,14119,8184,13848,11200,0,0,0,0,1491,0,0,0,0,0,0,0,2691,12324,0,0,N,N,N
DUPD1,0,0,0,0,51468,0,7702,9889,10506,7304,11427,14505,12542,8550,13373,16145,0,0,4256,0,9558,0,0,0,0,0,0,0,7786,11283,0,5677,N,N,Y
PPIF,0,0,7038,0,161,0,2430,9877,1581,2610,353,324,6051,6244,11672,6140,0,0,3061,0,12719,0,6593,6182,3248,0,0,0,5896,9320,0,729,N,N,N
AASDHPPT,0,0,5700,0,34317,0,7627,8981,9185,5636,6626,9450,8507,9586,9800,9272,0,0,5830,0,9704,0,3887,3102,6715,0,0,0,11691,10823,0,4787,N,N,N
ARCN1,0,0,8337,0,13787,0,3744,9892,7093,7596,6923,764,11137,8767,3832,11237,0,0,2856,0,1367,0,5238,4122,7153,0,0,0,16796,12054,0,7356,N,N,N
IMMP1L,0,0,5701,0,12889,0,3081,9885,8530,1332,11143,13051,7627,7701,12125,17564,0,0,4790,0,8634,0,0,0,0,0,0,0,9317,11341,0,11446,N,N,N
RAB3IL1,0,0,7602,0,8718,0,9200,9876,9393,14128,8959,7254,13896,8478,12377,13330,0,0,7467,0,13783,0,6127,4629,7154,0,0,0,18968,8974,0,9932,N,N,N
PHB2,0,0,7046,0,86705,0,4117,9878,6165,2001,2342,2690,4782,2111,4982,20431,0,0,0,0,4458,0,5597,4284,0,0,0,0,10231,0,0,0,N,N,Y
MAP4K5,0,0,7399,0,866,0,4538,5889,6283,0,0,0,0,0,0,12694,0,0,9479,0,13492,0,5677,4937,7155,0,0,0,11020,12439,0,2916,N,N,Y
TRMT5,0,0,0,0,16817,0,8031,9868,9505,11648,13340,15783,10545,12625,14546,14067,0,0,0,0,9428,0,0,0,7156,0,0,0,19184,13163,0,0,N,N,N
FUT8,0,0,4312,0,9123,0,3723,5434,4621,7087,5972,11037,5773,6024,8420,7859,0,2846,9443,0,13284,0,0,0,0,111,514,0,7685,4959,0,2405,N,N,N
LIN52,0,0,3455,0,46983,0,12831,6028,5732,14715,15903,8727,13149,13294,8417,2908,0,0,5555,0,7873,0,0,0,7157,0,0,0,4363,9833,0,5785,N,N,N
C14orf178,0,0,0,0,44524,0,13376,9891,11793,0,0,0,0,0,0,11415,0,0,0,0,5958,0,0,0,0,1663,967,0,11860,13114,0,5559,N,N,N
CCDC144NL,0,0,0,0,54837,0,13375,9890,11004,16343,14917,15651,15460,14931,14432,6434,0,0,0,0,0,0,0,0,0,0,0,0,18705,11422,0,5427,N,N,N
RPL19,0,0,8876,0,750,0,3997,9874,5748,6693,3278,4402,6539,9686,9295,13459,0,0,864,0,10966,1815,5826,4544,7158,1076,1132,0,13986,9149,0,5176,N,N,N
KRTAP1-3,0,0,0,0,86688,0,1407,5369,9164,4479,11718,13117,9868,11762,10750,940,0,0,0,0,7714,0,0,0,0,1541,147,0,330,6108,0,0,N,N,N
