genenames,CHASM,DawnRank,EntroRank,Intdriver,MA,MCGfinder,MaxMIF_HumanNet,MaxMIF_Influencegraph,MaxMIF_STRINGv10,Muf_max_HumanNet,Muf_max_STRINGv10,Muf_max_influencegraph,Muf_sum_HumanNet,Muf_sum_STRINGv10,Muf_sum_influencegraph,Music,NMTF,OncodriveClust,OncodriveFM,RME,SIFT,Subdyquency,Unicovex_PPR,Unicovex_influencegraph,activedriver,dendrix_frequency,dendrix_weight,diffusion,dndscv,dotsfinder,drivernet,polyphen-2,ncg_6,cgc,ccgs
COL1A2,0,0,61,0,1917,89,103,71,430,435,1530,1263,78,60,190,612,0,215,6633,0,12564,59,51,37,0,0,0,58,1645,217,79,8822,Y,N,Y
EMC2,0,0,2700,0,0,0,5802,4075,5991,7705,8780,9379,6625,6765,2285,2736,0,0,0,0,8715,0,0,0,0,0,0,0,2813,5211,0,7853,N,N,N
MTBP,0,0,3530,0,10148,0,8261,4152,2400,9867,2223,10630,5904,4026,6557,8221,0,766,2827,0,7404,0,2401,1830,2348,0,0,0,11433,5040,0,4040,N,N,N
DMRT2,281,0,7674,0,24583,0,9634,6755,12396,10386,8020,2383,9781,6871,7787,15088,0,0,1620,0,1421,0,0,0,0,0,0,0,15380,10388,0,4205,N,N,Y
RC3H2,0,0,0,0,24494,0,10237,6549,8413,9635,9063,11001,7058,5564,6612,12129,0,3845,5268,0,5291,0,2771,0,2349,0,0,0,8854,3921,0,5331,N,N,N
TTF1,0,0,315,0,19981,0,339,290,1725,1850,6166,3025,2100,1026,1262,2022,0,1552,26,0,408,388,449,377,2350,0,0,0,460,1383,0,10482,N,N,N
GLUD2,0,0,1695,0,140,0,2746,4555,3504,4280,5899,7973,4157,3386,3059,969,0,3234,719,0,1370,0,1560,1290,1068,0,0,0,13789,3210,0,634,N,N,Y
HCFC1,0,0,370,0,2559,0,861,993,1939,3115,2889,689,360,1381,597,6434,0,1789,1794,0,1408,701,927,996,851,0,0,0,4516,1394,0,4925,N,N,N
BMX,0,0,1777,0,4770,0,307,6071,401,241,314,3816,4919,1879,5624,2968,0,2127,6368,0,9366,0,2317,1550,2351,0,0,0,5066,2489,0,658,N,N,Y
DIAPH2,0,0,539,0,1822,0,3588,2926,3611,4198,13652,3421,1257,6330,3400,5753,0,2005,0,0,0,1079,1684,1516,802,0,0,545,9472,1346,0,186,Y,N,N
NOTCH2,0,0,165,0,59,102,26,265,17,278,19,610,96,81,274,585,0,3165,5571,0,12540,58,133,110,914,0,0,1021,44,204,0,9266,Y,N,Y
MAP2K4,0,0,8501,0,36626,0,4585,7720,1763,5276,1238,4282,9773,7850,1317,3691,0,0,0,0,12529,0,6534,4294,0,0,0,0,1114,13055,0,0,Y,N,Y
ZNF433,0,0,6203,0,7904,0,11355,1593,4751,8837,10234,5041,6557,3992,4595,6824,0,0,3248,0,10934,0,1329,1422,4056,0,0,0,3359,3840,0,3390,N,N,N
