"genenames","CHASM","DawnRank","EntroRank","Intdriver","MA","MCGfinder","MaxMIF_HumanNet","MaxMIF_Influencegraph","MaxMIF_STRINGv10","Muf_max_HumanNet","Muf_max_STRINGv10","Muf_max_influencegraph","Muf_sum_HumanNet","Muf_sum_STRINGv10","Muf_sum_influencegraph","Music","NMTF","OncodriveClust","OncodriveFM","SIFT","Subdyquency","Unicovex_PPR","Unicovex_influnecegraph","activedriver","dendrix_frequency","dendrix_weight","diffusion","dndscv","dotsfinder","drivernet","polyphen-2","ncg_6","cgc","ccgs"
"SOBP",4901,0,3357,0,16842,0,5447,1726,8208,8320,11399,8050,6515,5908,4935,6888,0,0,1152,12107,0,2703,2069,0,0,0,0,3579,5539,0,3585,"N","N","N"
"ERMP1",7010,0,3358,0,12008,0,1873,4942,6572,8436,6533,13036,6269,7171,10063,2151,0,750,0,5046,0,0,0,4284,0,0,0,7917,3297,0,8753,"N","N","N"
"CXorf64",0,0,0,0,16593,0,10332,10243,10335,0,0,0,0,0,0,8475,0,0,0,0,0,0,0,0,0,0,0,12965,6685,0,0,"N","N","N"
"FOXP4",12185,0,4590,0,23989,0,4068,4940,9579,8737,15530,9475,8394,11376,7222,2652,0,0,0,12127,0,4676,2801,0,0,0,0,1701,9102,0,0,"N","N","N"
"SLC5A9",2314,0,0,0,563,0,6891,5536,7919,11550,12010,12899,11091,8761,9948,6220,0,0,556,2456,0,0,0,0,0,0,0,16148,2278,0,4305,"N","N","N"
"KCNMA1",4782,0,2211,0,4305,0,3876,4471,2938,5572,14112,2612,940,7005,4274,8693,0,0,0,11341,0,0,0,4285,0,0,0,4851,6896,0,8336,"N","N","N"
"SFTPA1",12186,0,5183,0,24024,0,9345,5539,3263,13871,16020,3766,11963,11866,3852,21709,0,0,0,2453,0,0,0,0,0,0,0,9325,13493,0,0,"N","N","Y"
"RNLS",12187,0,0,0,24022,0,3083,3866,7527,6665,11234,10246,6121,5775,5529,4228,0,0,0,12120,0,2643,0,0,0,0,0,239,6883,0,0,"N","N","N"
"ANKRD52",7985,0,0,0,24007,0,8733,1789,2609,9527,10000,10260,7129,2711,5534,2970,0,0,1110,2451,0,0,0,201,0,0,0,3513,5323,0,3467,"N","N","N"
"SIX1",4690,0,5638,0,24025,0,2662,4470,979,4616,13783,4927,5827,6680,1747,6536,0,0,0,2480,337,2327,1785,4530,0,0,69,2124,4321,0,9388,"Y","N","N"
"IL16",11086,0,5771,0,20749,0,2830,5565,5444,5125,9887,618,2273,8149,6571,16188,0,0,0,1708,0,5052,4122,0,280,235,0,1731,12988,0,0,"N","N","N"
"ZNF720",12188,0,0,0,24033,0,9344,5522,4872,13802,5195,13025,11894,7559,10053,12195,0,0,0,12116,0,0,0,0,0,0,0,5247,11954,0,0,"N","N","N"
"CSH2",9791,0,1213,0,14056,0,1281,3458,5241,1228,9063,5508,4522,5580,3897,772,0,0,0,550,1269,1787,1458,0,0,0,0,1593,3360,0,0,"N","N","N"
"CALR",3915,0,5939,0,13765,0,2000,5583,1231,1263,1205,4129,2683,2023,1583,9711,0,0,0,8323,1267,3823,2696,0,0,0,236,17701,8453,0,3551,"N","N","Y"
"PSMD8",4261,0,6148,0,9886,0,1604,5546,9639,4329,7042,267,2016,7609,3952,4615,0,0,0,7684,0,4062,3613,4286,45,214,0,15771,11886,0,7234,"N","N","N"
"PLIN5",12189,0,3359,0,24020,0,9349,5549,7180,13804,10155,10919,11896,9593,7624,19816,0,0,0,2397,0,0,0,0,0,0,0,6531,13221,0,0,"N","N","N"
"SCN5A",1978,0,5341,0,296,0,1700,2589,1732,2466,3029,1315,1848,954,1856,7458,0,1563,3769,2928,0,998,1011,4287,0,0,0,3899,340,0,765,"N","N","Y"
"CEP85L",7009,0,0,0,0,0,7301,5580,8437,12094,13528,12068,8968,8579,9263,8436,0,0,0,7271,0,0,0,0,0,0,0,14586,6837,0,903,"N","N","N"
"OLIG3",1116,0,3360,0,654,0,5755,5552,6833,10108,10320,9803,11054,8247,8904,4814,0,0,0,9424,0,4373,3416,0,0,0,0,12334,7416,0,7763,"N","N","N"
"NT5C3",0,0,0,0,16597,0,10363,10363,10363,0,0,0,0,0,0,10961,0,0,0,0,0,0,0,0,0,0,0,0,8947,0,0,"N","N","N"
"KIAA1456",4985,0,0,0,0,0,6131,5562,6674,14773,13656,0,13172,12380,0,5462,0,0,0,0,0,0,0,0,0,0,0,10504,6389,0,0,"N","N","N"
"ALDH1A1",3927,0,3361,0,12383,0,2307,1342,730,3155,1204,5230,2135,1103,3121,9300,0,0,2889,2448,0,0,0,5236,0,0,0,14561,6395,0,8995,"N","N","N"
"SWSAP1",6865,0,2453,0,0,0,8993,3415,3078,9477,8509,9752,7077,6427,5170,505,0,0,0,12118,0,0,0,0,0,0,0,330,3909,0,976,"N","N","N"
"HTR2B",12190,0,6421,0,24012,0,6525,5567,412,7307,5263,2970,7486,7480,6690,3400,0,0,0,12129,0,5262,2160,0,0,0,0,1123,7993,0,0,"N","N","N"
"ZBTB49",2652,0,0,0,11506,0,6223,2782,3356,5246,4757,9663,4050,2275,3612,7810,0,277,2751,1569,0,881,0,268,0,0,0,1755,1999,0,8427,"N","N","N"
"YTHDC1",1422,0,4783,0,24031,0,2832,5525,4439,5197,8089,7860,9911,8376,7061,4368,0,0,0,7656,0,3301,2784,6406,0,0,0,3031,6863,0,7801,"N","N","N"
"ZNF281",1402,0,1453,0,5385,0,4867,3595,3654,3242,4749,3426,2963,2035,2624,8219,0,2541,4396,8057,842,0,0,51,0,0,0,6005,2366,0,1929,"N","N","N"
"CNST",9534,0,0,0,15411,0,9375,5668,7146,13503,13312,13323,11590,10240,10297,8458,0,0,0,7657,0,2709,0,0,0,0,0,12705,5813,0,8752,"N","N","N"
"UBQLN3",5635,0,0,0,12248,0,1999,2308,7221,4609,11730,10613,3440,6008,5717,5439,0,0,0,4051,0,0,0,4290,0,0,0,17628,6873,0,3959,"N","N","N"
"CKAP2",8438,0,0,0,8401,0,4019,852,2249,3853,3878,8830,2623,2393,3391,4843,0,509,3916,4915,0,0,0,4291,0,0,0,4821,3559,0,1333,"N","N","N"
"C15orf44",0,0,0,0,0,0,10369,10369,10369,0,0,0,0,0,0,9534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"N","N","N"
"RAB11A",5634,0,927,0,26917,0,1513,4953,1675,1890,2683,3275,2609,484,650,11246,0,0,0,8571,0,2330,2112,462,0,0,0,2841,4768,0,4736,"N","N","Y"
"HMOX2",5810,0,3362,0,28859,0,6529,5652,9657,10741,15922,7616,10594,11768,8411,10448,0,0,0,8536,0,5305,4063,4292,0,0,0,15672,8341,0,6567,"N","N","N"
"C17orf85",0,0,0,0,0,0,10368,10368,10368,0,0,0,0,0,0,9559,0,0,0,0,0,0,0,0,0,0,0,18553,11553,0,0,"N","N","N"
"RHPN2",9621,0,2245,0,26996,0,2785,3909,4664,3564,6032,7252,2796,2021,4845,11325,0,0,0,2430,0,2297,1853,6516,0,0,0,17391,8521,0,3527,"N","N","N"
"RALY",6278,0,5715,0,4332,0,1599,5630,4816,3616,15387,7477,8567,11234,8268,7050,0,0,0,6100,0,4187,3499,736,0,0,0,4384,5776,0,6605,"N","N","N"
"MIRLET7G",0,0,0,0,0,0,9371,5641,9655,0,0,0,0,0,0,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"N","N","N"
"OR5K2",9883,0,2199,0,14845,0,8723,1740,2835,9418,6927,6261,7014,3656,5291,585,0,2198,1519,6231,0,0,0,4293,0,0,0,3967,2082,0,3532,"N","N","N"
"PCDHGB1",7192,0,4379,0,11421,0,9369,5637,8440,13286,12468,11988,11372,9500,9198,7261,0,0,0,5262,0,0,0,0,0,0,0,16837,0,0,0,"N","N","N"
"SLC22A1",7596,0,4380,0,0,0,6749,5626,5156,10425,6689,8878,9537,5463,8949,2373,0,0,0,4265,0,4726,3994,0,0,0,0,10273,4492,0,2959,"N","N","N"
"CUL1",1624,0,6655,0,5217,0,1670,5667,1371,2778,1097,4507,3200,1761,1143,6814,0,0,0,7059,1245,3074,2338,4294,0,0,261,11774,4872,0,6472,"Y","N","Y"
"TMEM71",8755,0,0,0,4236,0,8664,1371,4729,9481,11074,11593,7081,5446,6218,549,0,10,0,8807,0,0,0,2877,0,0,0,3323,3537,0,0,"N","N","N"
"LOXL2",8603,0,3363,0,27559,0,1207,5643,1224,516,2608,6765,3412,7755,8455,10694,0,0,0,4860,0,0,0,0,0,0,0,14971,10686,0,8841,"N","N","N"
"COL9A2",5784,0,6120,0,0,0,1789,4305,2729,4029,6037,2491,8762,4816,4603,9893,0,0,0,2400,0,2769,2279,0,0,0,0,18354,9314,0,8349,"N","N","N"
"DCLRE1A",12191,0,6255,0,0,0,1218,4302,4734,2920,4059,6124,8022,7373,6726,14170,0,0,0,2483,0,0,0,0,0,0,0,3312,13396,0,0,"N","N","Y"
